Classification,abund_before,abund_during,fold_change,adjusted_pvalue,log2_fc,neg_log10_p
Anaerostipes,0.943367346938775,2.013548752834466,2.16292149874669,0.0001298434710861,1.1129813049559052,3.886579883097184
Bifidobacterium,1.3523809523809531,4.2547619047619,3.540065110275915,0.0021754997492203,1.8237758951693828,2.6624409624343515
