Genus,U307,U310,U311,U312,U313,U315,U316,U317,U318,U322,U323,U325,U326,U327,U328,U329,U331,U332,U333,U334,U335,U336,U338,U339,U341,U343,U344
Akkermansia,3.27,,,,,,,52.74,1.02,84.77,0.62,0.86,,,,0.0,,,,,0.15,,6.57,,,0.3,0.0
Anaerostipes,6.94,2.39,4.22,10.21,3.12,6.96,1.9,1.95,0.58,4.34,5.01,1.11,0.34,4.49,1.9,2.02,2.97,0.81,,1.38,1.36,5.85,2.44,1.89,2.25,0.5,1.37
Bifidobacterium,5.83,332.01,,,0.66,3.31,2.44,1.23,1.41,2415.63,,2.3,0.26,61.96,0.75,5.17,5.69,0.43,0.8,0.83,1.63,2.1,1.9,0.71,817.52,0.99,24.93
